Values,Temperature,Dew_Point,Humidity,Wind_Bearing,Wind_Speed
10363.196722881356,19.8,16.0,79.0,11.0,0.8
12803.070694915254,22.5,17.4,73.0,63.0,0.5
14217.65336440678,25.1,14.8,53.0,131.0,0.9
12551.80097457627,26.8,16.1,52.0,248.0,0.8
12431.336711864407,26.9,17.1,55.0,142.0,2.5
11052.74488559322,26.4,18.0,60.0,145.0,2.7
11616.773500000001,26.5,17.3,57.0,157.0,2.8
9503.321466949154,26.3,16.6,55.0,70.0,3.5
8295.843884033613,26.9,16.8,54.0,133.0,2.6
7778.884160169491,25.8,17.7,61.0,130.0,2.8
7794.455866949153,26.6,14.0,46.0,129.0,1.9
7828.985983050848,26.6,15.0,49.0,154.0,1.9
7850.403542372882,24.7,15.9,58.0,134.0,1.6
8151.786468644068,23.4,16.0,63.0,135.0,0.7
6961.263917796609,22.6,16.6,69.0,248.0,0.4
5919.4974225806445,22.0,18.0,78.0,158.0,0.8
4194.570438983051,21.4,18.8,85.0,237.0,1.2
3092.499747457627,20.7,17.5,82.0,241.0,0.9
2957.337568103448,19.6,15.3,76.0,288.0,0.9
3337.185426724138,18.6,13.7,73.0,288.0,0.5
3939.0752870689657,18.1,14.0,77.0,334.0,0.8
5003.284067521367,17.8,13.6,76.0,296.0,0.6
4839.233915384615,17.2,13.2,77.0,297.0,0.7
8101.154199152543,16.8,12.5,76.0,279.0,0.7
11209.497360169491,18.5,13.4,72.0,323.0,0.6
13610.303822033899,22.5,14.9,62.0,72.0,1.2
13540.806305084747,25.0,15.6,56.0,70.0,0.9
12271.179457627119,27.1,14.8,47.0,100.0,1.1
11184.13811440678,28.3,17.8,53.0,136.0,2.4
10782.69958898305,28.0,17.5,53.0,139.0,2.3
11181.78897881356,28.5,15.1,44.0,138.0,2.9
10946.9841779661,28.7,16.9,49.0,136.0,3.0
9247.55133697479,28.2,16.5,49.0,149.0,2.8
8655.84704661017,28.6,13.3,39.0,160.0,2.5
8774.524883050848,28.4,10.2,32.0,140.0,2.5
8712.554801694916,27.7,11.7,37.0,140.0,1.8
7941.422561864407,25.8,11.6,41.0,70.0,1.5
7672.050973728813,24.6,12.8,48.0,113.0,1.1
6831.342667796611,23.4,13.3,53.0,79.0,1.4
5416.504830645162,22.5,13.3,56.0,25.0,1.4
5285.51174117647,21.3,12.4,57.0,347.0,0.9
4217.98292881356,20.4,11.6,57.0,335.0,0.6
4854.049055084746,19.5,11.2,59.0,3.0,0.7
2700.139523478261,18.7,10.5,59.0,302.0,0.8
2409.907795726496,18.1,9.9,59.0,307.0,0.9
3255.965085775862,17.7,9.0,57.0,301.0,1.2
2866.0186188034186,17.1,9.6,61.0,327.0,1.4
4404.820865254237,16.8,9.0,60.0,301.0,0.9
7727.0444966101695,18.8,9.8,56.0,283.0,0.4
10915.39283898305,23.3,11.7,48.0,74.0,1.7
12954.532983050847,25.6,11.8,42.0,93.0,1.7
12695.932423728815,27.4,11.4,37.0,109.0,1.1
11557.224745762713,27.4,13.8,43.0,139.0,2.5
9985.069868644068,28.7,11.3,34.0,153.0,2.4
9649.104076271185,28.7,12.5,37.0,136.0,2.7
8632.576986440678,28.9,10.5,32.0,140.0,2.3
6712.05949661017,28.0,13.2,40.0,126.0,2.7
6209.102588983051,28.8,9.6,30.0,146.0,3.0
6704.637476271186,28.4,9.7,31.0,134.0,1.9
7042.33788559322,27.3,11.8,38.0,125.0,1.6
7249.074112711864,25.6,9.8,37.0,63.0,1.5
7498.509448305085,24.7,13.3,49.0,129.0,1.0
6743.091299999999,23.1,15.4,62.0,69.0,1.7
5040.16266870229,22.2,17.5,75.0,68.0,1.7
4331.5085596638655,21.7,17.7,78.0,59.0,1.6
3389.787563559322,21.3,16.9,76.0,61.0,2.3
2611.1837863247865,20.5,15.3,72.0,28.0,2.3
2370.8872786324787,19.6,12.3,63.0,334.0,1.1
2472.642457264957,18.9,11.4,62.0,356.0,1.1
2019.2302456896552,18.0,11.3,65.0,298.0,0.5
2874.0479389830507,17.5,11.1,66.0,286.0,0.6
3652.8862743589743,16.9,11.0,68.0,286.0,0.7
6300.995004237288,18.8,12.1,65.0,320.0,1.0
9642.503287288135,22.9,13.1,54.0,311.0,1.1
12214.610720338982,25.0,13.3,48.0,66.0,3.2
12279.675389830509,25.6,11.8,42.0,77.0,4.3
10888.726927966103,24.0,16.0,61.0,76.0,5.9
10337.037025423728,24.6,15.8,58.0,77.0,5.1
9489.189999999999,24.2,17.2,65.0,82.0,4.5
8021.41455338983,24.4,17.4,65.0,68.0,4.1
6421.050529411765,24.2,17.2,65.0,78.0,4.6
6177.07013559322,24.4,17.1,64.0,84.0,3.9
6835.682076271186,23.2,17.0,68.0,77.0,4.8
7120.902541525425,23.1,15.9,64.0,73.0,4.1
7480.628272881356,22.2,15.3,65.0,70.0,3.0
7873.529763559322,21.6,15.0,66.0,80.0,2.8
7077.81383220339,21.1,15.2,69.0,68.0,1.8
6819.2303484375,20.6,16.8,79.0,62.0,1.9
5452.49411440678,20.2,16.8,81.0,48.0,1.3
4351.185984745763,19.8,17.1,84.0,19.0,1.0
4020.892455932203,19.2,16.4,84.0,35.0,1.3
4275.263222123894,18.2,13.9,76.0,292.0,0.4
3974.062242105263,17.3,12.8,75.0,345.0,1.3
3854.884688034188,16.5,11.7,73.0,293.0,1.0
4964.429452542372,15.9,10.9,72.0,289.0,0.9
8153.179434745763,15.9,9.3,65.0,4.0,1.8
11348.891440677966,17.9,8.4,54.0,348.0,0.4
13249.229419491527,21.2,6.7,39.0,25.0,0.9
13531.464279661017,23.8,3.6,27.0,64.0,2.9
12528.227415254238,24.7,1.5,22.0,78.0,2.7
11267.256944915254,25.8,1.9,21.0,89.0,3.1
9583.714206779661,25.6,3.6,24.0,72.0,3.9
10244.021055084746,24.1,7.7,35.0,79.0,3.3
9433.585755932205,22.9,10.0,44.0,71.0,2.8
7892.344566101695,23.4,11.1,46.0,73.0,2.9
7068.822663559322,23.2,11.9,49.0,84.0,2.5
7245.357837288136,23.4,12.4,50.0,79.0,2.4
7092.631323728814,22.0,10.8,49.0,78.0,2.7
7633.342033050848,21.7,11.7,53.0,82.0,2.5
8255.176411016948,21.2,13.4,61.0,82.0,1.3
6857.40184661017,20.5,13.3,63.0,36.0,1.1
5042.053089430895,20.4,13.9,66.0,37.0,1.1
4204.257704201681,20.0,15.3,74.0,23.0,1.2
4036.2084512820516,19.4,12.8,66.0,350.0,1.3
2863.7806939130437,19.3,12.7,66.0,290.0,0.9
2677.242675,18.6,12.3,67.0,279.0,0.6
3321.7996371681415,18.2,12.4,69.0,331.0,1.0
2561.513498245614,17.5,12.4,72.0,15.0,1.0
3494.665981196581,17.3,12.2,72.0,287.0,0.7
6788.390411864407,16.7,11.8,73.0,291.0,1.0
10347.543033050846,18.5,12.4,68.0,301.0,0.3
12795.441008474578,22.4,13.2,56.0,224.0,0.8
13116.228050847458,24.1,12.7,49.0,234.0,2.0
11832.267796610171,25.4,14.2,50.0,174.0,1.9
11065.929279661017,25.6,14.7,51.0,134.0,2.1
10605.858957627119,26.5,15.5,51.0,107.0,3.3
10419.926563559324,25.0,15.6,56.0,75.0,5.3
9794.28416016949,25.0,15.6,56.0,76.0,5.7
7948.961983898305,25.4,14.8,52.0,71.0,6.5
7238.597218644068,24.7,15.1,55.0,80.0,5.5
8266.493024576272,24.0,15.0,57.0,73.0,5.6
8554.26654322034,23.5,14.8,58.0,79.0,6.4
9152.212915254238,22.6,14.4,60.0,76.0,4.6
9592.96245338983,22.0,14.1,61.0,79.0,4.2
8106.293653389831,21.7,13.6,60.0,79.0,3.8
5600.233792857143,21.2,14.8,67.0,18.0,1.8
4006.7082050847457,20.5,14.4,68.0,32.0,1.5
3559.2500008474576,19.7,13.7,68.0,345.0,1.1
3556.685316239316,19.3,12.5,65.0,356.0,1.4
3839.22112920354,18.4,11.7,65.0,350.0,1.2
3731.0681191304348,18.2,11.2,64.0,349.0,1.2
3462.7263844827585,17.4,11.0,66.0,330.0,0.8
4878.471934745763,16.7,10.5,67.0,304.0,1.3
8171.167394915255,17.0,10.4,65.0,306.0,1.0
11185.450864406781,18.7,10.8,60.0,286.0,0.7
13219.32938983051,23.8,10.4,43.0,323.0,0.5
13416.537529661016,26.2,9.9,36.0,85.0,2.9
12135.202906779661,26.4,14.5,48.0,151.0,2.6
10837.891199152542,26.7,13.1,43.0,80.0,4.0
10450.418911016948,26.8,13.2,43.0,76.0,5.2
10580.788618644068,27.6,12.7,40.0,89.0,4.7
9818.373495762711,27.8,13.8,42.0,77.0,3.9
8276.952486440678,26.3,15.3,51.0,73.0,5.8
7577.918183050848,24.0,17.5,67.0,81.0,6.9
7617.261720168067,23.7,16.7,65.0,72.0,5.5
7570.40585,22.9,16.5,67.0,75.0,5.3
7941.53720338983,22.0,15.8,68.0,71.0,6.1
8682.683938983051,21.7,14.8,65.0,71.0,5.4
7419.036483898305,21.8,12.1,54.0,72.0,4.4
5337.693444715447,21.1,11.4,54.0,22.0,1.6
4178.145902542373,20.8,9.7,49.0,45.0,2.2
3980.074949152542,20.4,9.3,49.0,9.0,1.1
2958.840400854701,19.9,12.6,63.0,75.0,1.4
2723.7710487179484,19.7,15.3,76.0,24.0,1.4
3422.625652586207,18.1,12.5,70.0,337.0,1.3
3808.2931453448273,17.4,10.3,63.0,2.0,1.6
4060.275748305085,17.8,9.9,60.0,357.0,1.4
6764.202192372882,18.0,10.4,61.0,4.0,1.5
9973.585139830508,19.2,11.2,60.0,355.0,1.1
12641.465440677966,22.3,11.1,49.0,35.0,2.2
12507.877161016948,24.1,8.5,37.0,69.0,4.7
11586.783961864407,24.9,11.4,43.0,68.0,4.7
10503.19216101695,25.4,9.7,37.0,75.0,5.2
9690.804258474576,25.4,11.9,43.0,76.0,5.6
11238.502699152543,26.1,8.5,33.0,75.0,6.1
10447.08843220339,26.4,7.8,31.0,69.0,5.5
9287.43180338983,26.1,8.5,33.0,69.0,7.0
8309.231655932203,26.4,8.8,33.0,79.0,4.8
8596.709380508475,26.0,8.0,32.0,67.0,5.5
8805.027816949152,25.4,8.8,35.0,69.0,5.8
7952.861938135593,24.4,9.9,40.0,72.0,4.7
8339.876468644068,23.2,10.6,45.0,77.0,4.1
7024.997498305084,22.5,9.9,45.0,108.0,2.8
5769.942184962406,21.8,13.2,58.0,82.0,2.3
4377.725627118644,20.8,14.4,67.0,77.0,2.4
3233.5509966101695,19.9,15.3,75.0,26.0,1.3
2924.9446982905984,18.9,14.6,76.0,352.0,1.3
3387.5667353448275,18.1,10.4,61.0,0.0,1.7
3967.8210706896552,17.5,9.2,58.0,11.0,1.3
4608.175622222222,16.9,8.5,58.0,13.0,1.1
4586.100155084746,16.6,8.0,57.0,350.0,1.5
8336.606719491525,16.1,8.1,59.0,320.0,0.7
11605.973737288135,17.2,7.3,52.0,297.0,0.7
13386.363313559323,21.9,7.0,38.0,194.0,0.6
13600.521152542373,24.6,4.8,28.0,121.0,1.3
12575.361152542373,25.0,6.2,30.0,122.0,2.8
11414.135669491527,25.1,9.8,38.0,128.0,2.8
10952.758055084747,25.2,11.3,42.0,129.0,3.2
10442.417084745763,25.5,8.9,35.0,124.0,2.9
9631.765376271187,26.1,5.1,26.0,154.0,3.4
8067.8579491525425,26.3,10.0,36.0,133.0,2.3
7144.844151694916,25.9,8.4,33.0,61.0,3.1
7482.260094915254,25.7,8.3,33.0,84.0,2.9
7490.52890338983,24.9,8.8,36.0,71.0,2.7
7299.078742372882,23.5,8.0,37.0,81.0,2.4
7613.672862711865,22.1,10.5,48.0,84.0,1.9
6399.417694915254,21.2,12.6,58.0,48.0,1.3
5251.8515122137405,20.6,11.6,56.0,53.0,1.4
5004.0414110169495,19.6,10.3,55.0,344.0,1.0
4964.423559322034,19.0,8.9,52.0,7.0,0.7
3455.014977777778,18.2,9.0,55.0,19.0,1.0
3749.586379310345,17.3,8.9,58.0,333.0,0.8
3208.1751342105263,16.5,9.4,63.0,308.0,0.6
3397.966288888889,16.0,8.9,63.0,339.0,0.9
2409.046370084746,15.3,8.8,65.0,314.0,0.6
4180.527943220339,15.3,9.8,70.0,348.0,1.3
7522.236377966102,16.9,10.3,65.0,281.0,0.9
10732.367648305086,21.0,13.9,64.0,29.0,0.8
13471.043118644067,23.4,10.4,44.0,72.0,1.1
13592.55563559322,24.2,9.3,39.0,121.0,2.7
12086.48445338983,24.8,13.9,51.0,151.0,3.0
11177.678610169492,24.7,14.1,52.0,126.0,3.1
10297.381008474576,24.8,13.7,50.0,141.0,3.5
9006.33531101695,25.1,14.2,51.0,142.0,3.2
6533.247429661017,25.0,15.3,55.0,140.0,3.1
6387.692005932204,25.0,14.7,53.0,143.0,2.6
6913.097453389831,24.4,15.1,56.0,142.0,2.8
7031.622972033898,23.8,14.8,57.0,128.0,2.1
7073.346924576271,22.3,13.9,59.0,145.0,1.4
7169.309484745762,21.4,13.9,62.0,76.0,1.5
6381.334902542373,20.6,13.3,63.0,101.0,0.7
4935.491558064516,20.0,10.2,53.0,87.0,1.2
4194.8641966101695,19.2,13.9,71.0,5.0,1.0
3697.257847457627,18.7,14.1,75.0,29.0,1.4
2879.0161194915254,17.6,12.3,71.0,334.0,0.6
2542.738208474576,16.7,11.8,73.0,351.0,0.7
2694.522814159292,16.0,9.9,67.0,262.0,0.6
2423.322364051724,14.9,7.0,59.0,287.0,0.9
2272.217777966102,14.5,6.4,58.0,311.0,0.6
3497.107066101695,14.5,6.4,58.0,327.0,0.9
6294.413933050847,16.9,3.2,40.0,42.0,1.9
9049.92543898305,20.4,9.9,51.0,29.0,2.0
11064.41472881356,22.9,7.8,38.0,73.0,2.0
11936.59670338983,24.8,11.7,44.0,98.0,2.3
10788.722622881356,25.8,5.3,27.0,125.0,2.7
9331.025241525424,25.3,8.3,34.0,86.0,2.9
9316.860371186442,25.3,12.5,45.0,59.0,4.2
7959.446961016949,25.4,13.3,47.0,102.0,3.1
6366.182011864406,25.1,13.0,47.0,126.0,3.3
6083.060886440679,24.4,14.8,55.0,74.0,3.2
6515.756531355933,24.6,14.7,54.0,91.0,2.6
6567.137907627119,22.9,14.4,59.0,66.0,1.2
7353.634128813559,23.4,12.4,50.0,140.0,1.5
7888.365924576271,22.5,12.1,52.0,87.0,1.5
6936.558300847458,21.4,14.8,66.0,33.0,2.1
5255.811307874016,20.8,12.5,59.0,25.0,0.8
4165.279160169492,20.6,11.6,56.0,72.0,1.1
3686.5636449152544,20.4,13.2,63.0,67.0,3.2
3393.2466051724136,20.3,12.7,62.0,356.0,1.4
3848.8757837606836,19.9,12.8,64.0,165.0,1.0
4432.324253508772,19.7,13.7,68.0,32.0,0.8
4430.039960683761,19.3,13.5,69.0,9.0,0.4
4569.037572033899,18.2,12.2,68.0,285.0,0.7
8594.37385,17.3,10.4,64.0,314.0,0.7
11989.190822033897,19.1,11.7,62.0,270.0,0.7
13480.51697457627,21.6,12.2,55.0,305.0,1.5
13607.232322033899,25.2,11.3,42.0,216.0,1.1
13469.70318803419,26.8,11.3,38.0,192.0,1.8
12166.883741525424,27.1,14.5,46.0,138.0,3.3
12301.119440677967,25.8,15.2,52.0,110.0,3.1
11992.347249999999,26.3,16.6,55.0,113.0,2.9
11078.802995762713,27.3,13.9,44.0,133.0,2.5
9604.268954237288,27.0,11.9,39.0,141.0,3.2
7535.371650847457,26.5,14.9,49.0,141.0,2.3
7569.888139830508,25.2,16.6,59.0,151.0,2.9
7474.679963559322,25.5,16.9,59.0,150.0,2.4
7843.941816949153,23.0,17.5,71.0,146.0,1.6
9021.150825423729,22.2,17.5,75.0,145.0,0.7
7028.778605932203,21.6,17.2,76.0,257.0,1.0
5815.430604615385,21.1,17.7,81.0,244.0,0.6
4204.73278898305,20.8,18.0,84.0,111.0,0.6
4092.6620449152542,20.5,17.9,85.0,87.0,1.1
3449.7690601694917,20.1,18.1,88.0,83.0,1.0
2574.9369213913046,19.5,17.1,86.0,2.0,1.0
3360.6124460869564,19.3,16.0,81.0,330.0,0.9
2589.063960940171,18.0,13.9,77.0,350.0,0.8
3413.924509322034,17.3,14.2,82.0,299.0,0.6
6911.273564406779,16.6,13.2,80.0,287.0,0.6
10374.294645762713,17.8,14.7,82.0,336.0,0.7
13150.265025210083,20.7,14.6,68.0,17.0,1.1
13397.624508474577,23.3,16.8,67.0,113.0,1.6
12972.05272881356,24.1,17.4,66.0,152.0,2.9
11611.786275423729,25.1,17.5,63.0,152.0,2.5
11297.019652542373,25.3,17.8,63.0,136.0,2.7
11796.517495762713,25.4,18.1,64.0,107.0,2.4
11027.740605932202,25.4,17.6,62.0,125.0,2.5
9421.597591525424,25.5,17.5,61.0,141.0,2.8
8163.015033898305,25.4,17.1,60.0,128.0,1.7
7798.682250847458,25.2,17.4,62.0,154.0,2.5
7393.780933898305,24.3,17.3,65.0,162.0,1.9
8005.773128813559,23.5,17.1,67.0,145.0,1.2
8471.61745338983,22.7,17.9,74.0,207.0,1.5
7183.192587288136,22.2,18.0,77.0,194.0,0.7
5573.550146341463,21.5,17.5,78.0,228.0,0.7
4029.2136672268907,20.7,17.3,81.0,200.0,0.4
3555.1038355932205,20.0,17.2,84.0,263.0,0.7
3336.8235743589744,19.3,16.6,84.0,247.0,0.9
5023.521347457627,17.9,12.1,69.0,282.0,0.9
3990.3425393162393,17.3,10.9,66.0,267.0,0.7
4214.859522222222,16.9,10.5,66.0,344.0,0.3
4504.933530508474,16.7,11.0,69.0,319.0,0.7
9752.178948305085,16.8,12.5,76.0,331.0,0.9
12386.834131355932,18.5,12.7,69.0,337.0,1.0
13697.760711864406,20.8,17.2,80.0,197.0,1.6
14103.303966101696,23.3,17.8,71.0,187.0,1.2
12887.31759322034,25.2,17.6,63.0,165.0,2.0
11021.749822033898,25.8,17.5,60.0,141.0,2.6
10200.833872881356,25.4,17.9,63.0,136.0,2.9
10189.890216101696,26.4,17.8,59.0,176.0,3.6
9508.174024576272,26.3,17.6,59.0,148.0,4.2
8122.35634661017,26.8,17.5,57.0,186.0,4.1
7772.397844915255,27.4,17.0,53.0,171.0,3.7
7596.8380813559315,26.6,18.2,60.0,187.0,3.3
7265.067602564102,25.9,18.8,65.0,145.0,2.4
7965.455826271186,24.6,18.8,70.0,143.0,1.7
8755.134074576272,24.0,18.8,73.0,131.0,1.2
9273.071899152543,23.0,18.8,77.0,134.0,1.3
7305.832434146341,22.4,18.8,80.0,146.0,0.5
6114.675187288135,22.0,18.6,81.0,247.0,0.7
4908.059671794872,21.6,18.6,83.0,262.0,1.3
3092.840758974359,21.3,17.7,80.0,271.0,0.7
2699.2246564102566,21.7,19.1,85.0,75.0,3.6
2636.529159130435,21.3,19.4,89.0,62.0,1.1
3415.933472649573,20.6,18.7,89.0,190.0,0.6
3324.6953576271185,20.3,18.4,89.0,334.0,1.0
7031.736515254237,19.9,18.0,89.0,339.0,0.9
10168.407099152542,21.6,19.1,86.0,191.0,0.8
12394.065779661018,25.5,14.6,51.0,260.0,1.9
12437.470652542374,27.8,12.5,39.0,257.0,3.4
11710.001499999998,29.3,12.2,35.0,266.0,4.2
11373.646898305085,29.0,11.1,33.0,256.0,3.6
10007.51418220339,30.8,11.2,30.0,274.0,4.7
10093.036207627118,30.9,11.3,30.0,268.0,3.5
9588.165160169492,29.9,10.4,30.0,276.0,3.3
7992.57228559322,27.4,10.2,34.0,342.0,6.9
7694.458502542372,25.2,10.6,40.0,328.0,5.5
9214.947438983052,23.9,12.5,49.0,310.0,3.9
8950.926225423727,22.7,12.6,53.0,304.0,4.3
9344.099394067796,22.0,9.6,45.0,315.0,1.7
8379.445211864408,21.6,10.2,48.0,260.0,3.4
6952.2155999999995,20.7,10.2,51.0,284.0,1.5
5769.800529508197,20.8,9.7,49.0,246.0,2.8
4425.985008474577,20.5,8.8,47.0,283.0,2.2
3285.1744273504273,21.0,9.6,48.0,296.0,3.2
2887.2756313793107,20.4,9.7,50.0,313.0,2.4
3535.756939316239,19.2,9.7,54.0,306.0,1.8
3757.1453771186443,18.8,9.6,55.0,288.0,2.0
3942.733714782609,18.4,10.5,60.0,294.0,1.8
5126.420414655172,18.6,9.9,57.0,286.0,1.5
8900.073410169492,17.7,9.0,57.0,287.0,1.4
12338.70084322034,20.3,8.7,47.0,280.0,1.9
13969.732779661017,22.9,8.9,41.0,243.0,2.0
14218.643593220339,24.6,7.7,34.0,240.0,2.4
13280.437237288135,26.2,7.3,30.0,288.0,2.8
11353.06941101695,27.4,7.8,29.0,285.0,2.7
10457.843504237288,28.7,7.8,27.0,304.0,4.4
10499.401944915255,30.4,8.1,25.0,291.0,2.7
9861.702890677965,31.4,8.4,24.0,280.0,2.8
10086.434792372882,32.4,8.7,23.0,277.0,2.8
9465.037050847457,29.4,13.2,37.0,174.0,5.6
9766.711724576271,28.9,13.9,40.0,184.0,5.2
8820.447954237288,27.8,14.4,44.0,200.0,5.9
7884.469407627118,26.5,13.9,46.0,188.0,4.6
7983.881131355932,25.1,15.4,55.0,173.0,2.1
6708.329757627119,23.4,17.1,68.0,98.0,0.9
5286.4778140625,22.7,17.0,70.0,11.0,1.1
4381.46118220339,22.1,16.8,72.0,357.0,0.9
4707.682924576271,21.4,16.0,71.0,269.0,0.7
4365.6027239316245,20.9,13.9,64.0,282.0,0.8
3814.009661538462,20.0,13.7,67.0,216.0,0.6
2713.539502586207,19.6,12.6,64.0,309.0,1.1
2683.890391551724,19.3,12.5,65.0,261.0,1.0
2440.145827711864,19.1,12.3,65.0,302.0,1.0
4362.38604661017,18.7,12.2,66.0,267.0,0.4
7912.631791525424,20.9,12.8,60.0,156.0,1.4
11007.206927966101,22.8,13.9,57.0,26.0,1.2
12818.031050847458,25.9,14.3,49.0,172.0,0.8
12326.256076271186,28.3,15.3,45.0,132.0,1.9
10542.937567796609,28.8,16.4,47.0,126.0,2.4
9733.341741525424,29.5,15.6,43.0,144.0,3.5
9146.928451694916,28.4,17.6,52.0,133.0,3.6
8363.920766949152,29.1,16.6,47.0,150.0,3.2
7017.9874567796605,28.7,14.5,42.0,179.0,4.7
6337.971988135593,27.8,18.5,57.0,150.0,3.0
6737.491663559322,26.4,19.1,64.0,128.0,2.5
6882.467825423729,25.9,18.8,65.0,120.0,1.9
8470.7311279661,25.3,18.2,65.0,138.0,1.8
9162.089593220338,23.2,17.9,72.0,141.0,1.7
8348.87044661017,22.3,17.6,75.0,80.0,0.8
6133.8268344,21.9,18.1,79.0,358.0,0.8
4356.64343220339,21.6,18.0,80.0,243.0,0.6
3694.345224576271,21.6,17.4,77.0,285.0,0.7
2864.5411411864407,21.7,17.3,76.0,180.0,1.3
2565.07603220339,21.9,15.7,68.0,204.0,3.0
2305.830659130435,22.1,15.2,65.0,218.0,1.3
2396.3777730434786,21.3,10.8,51.0,300.0,1.5
2102.662934237288,21.6,10.2,48.0,278.0,1.6
3333.6458262711867,21.1,10.3,50.0,279.0,1.5
6133.112580508474,24.5,10.4,41.0,288.0,2.3
9363.744773504273,26.1,9.8,36.0,293.0,3.6
10639.167495762713,27.5,10.3,34.0,279.0,3.3
11019.287593220339,29.2,10.3,31.0,275.0,2.8
10574.134131355931,28.7,15.3,44.0,314.0,3.1
9116.503627966102,26.2,18.1,61.0,97.0,3.3
8934.780922033899,24.6,18.8,70.0,75.0,3.1
7687.4674601694915,26.1,19.0,65.0,61.0,3.7
6176.288359322034,26.4,18.8,63.0,75.0,4.0
6026.363609322034,24.8,18.7,69.0,115.0,2.8
6413.385416101695,25.2,18.8,68.0,96.0,1.3
6489.848305932203,26.7,17.2,56.0,154.0,1.1
7299.625670338983,26.5,17.0,56.0,143.0,1.9
7658.200930508474,25.1,16.0,57.0,139.0,1.5
6989.177731355932,23.7,16.2,63.0,71.0,2.4
5489.0192,22.8,17.5,72.0,52.0,1.7
4178.662748305084,22.6,16.4,68.0,350.0,2.4
3612.7624767241377,22.4,15.7,66.0,4.0,1.4
3470.387199145299,22.3,14.9,63.0,335.0,2.0
3747.366839655172,21.2,14.1,64.0,10.0,1.5
3997.233432173913,20.4,13.9,66.0,42.0,2.3
5598.591962931035,20.0,13.7,67.0,3.0,1.5
4653.378922881357,19.6,13.8,69.0,28.0,1.9
8303.294384745763,19.4,13.8,70.0,267.0,0.3
11061.743512711864,19.7,14.3,71.0,237.0,0.6
12827.07649576271,21.3,15.6,70.0,99.0,1.2
13124.941042372882,19.9,16.7,82.0,76.0,2.9
